,,,,,kg CO2 eq/ kg or litre food commodity,,,,,,,,,,,,,,,
FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,n,mean,median,st.dev.,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
FISHING,FISH,-,FLATHEAD,3,2.45,2.56,0.90,1.30,3.50,0.94,1.93,3.03,0.37,-0.176,,0.840,R,G,R,TYPOLOGY
FISHING,FISH,-,FORK BEARD,2,8.01,8.01,1.76,6.25,9.77,1.76,7.13,8.89,0.22,-,-,-,R,G,R,TYPOLOGY
FISHING,FISH,-,HADDOCK,3,3.25,3.10,0.44,2.80,3.84,0.30,2.95,3.47,0.13,0.466,,0.542,R,G,R,TYPOLOGY
FISHING,FISH,-,HAKE,6,10.12,10.40,2.52,6.88,14.15,2.18,7.88,11.47,0.25,0.129,1.846,0.717,Y,G,G,ITEM
FISHING,FISH,-,HERRING,6,2.21,1.24,1.63,0.66,4.55,0.35,1.12,3.68,0.74,0.656,1.508,0.019,Y,G,Y,ITEM
FISHING,FISH,-,LING,2,6.45,6.45,3.32,3.13,9.77,3.32,4.79,8.11,0.51,-,-,-,R,G,R,TYPOLOGY
FISHING,FISH,-,MACKEREL,23,2.05,1.80,1.31,0.25,5.45,0.67,1.20,2.43,0.64,1.038,3.229,0.015,G,G,Y,ITEM
FISHING,FISH,-,MEGRIM,1,14.15,14.15,-,14.15,14.15,-,14.15,14.15,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH,-,PLAICE,1,6.13,6.13,-,6.13,6.13,-,6.13,6.13,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH,-,POLLOCK,2,1.40,1.40,0.20,1.20,1.60,0.20,1.30,1.50,0.14,-,-,-,R,G,R,TYPOLOGY
FISHING,FISH,-,POMFRET,2,6.63,6.63,3.14,3.49,9.77,3.14,5.06,8.20,0.47,-,-,-,R,G,R,TYPOLOGY
FISHING,FISH,-,PORBEAGLE,1,11.44,11.44,-,11.44,11.44,-,11.44,11.44,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH,-,RHOMBUS,1,8.41,8.41,-,8.41,8.41,-,8.41,8.41,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH,-,ROCK FISH,1,6.94,6.94,-,6.94,6.94,-,6.94,6.94,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH,-,SALMON,26,3.80,3.37,1.87,1.11,8.88,0.82,2.59,4.05,0.49,1.331,4.136,0.002,G,G,R,ITEM
FISHING,FISH,-,SARDINE,5,0.90,0.90,0.30,0.50,1.41,0.12,0.78,0.92,0.33,0.510,2.461,0.644,Y,G,G,ITEM
FISHING,FISH,-,SEA-BASS,5,3.59,3.60,1.26,1.91,5.76,0.66,2.94,3.74,0.35,0.518,2.382,0.733,Y,G,G,ITEM
FISHING,FISH,-,SHARK,3,10.09,11.44,1.99,7.28,11.56,0.12,9.36,11.50,0.20,-0.705,,0.048,R,G,R,TYPOLOGY
FISHING,FISH,-,SOLE,2,5.40,5.40,2.05,3.35,7.45,2.05,4.38,6.43,0.38,-,-,-,R,G,R,TYPOLOGY
FISHING,FISH,-,SWARDFISH,2,12.84,12.84,1.40,11.44,14.24,1.40,12.14,13.54,0.11,-,-,-,R,G,R,TYPOLOGY
FISHING,FISH,-,TROUT,21,3.65,4.20,1.14,1.37,5.95,0.34,3.02,4.30,0.31,-0.397,2.557,0.098,G,G,G,ITEM
FISHING,FISH,-,TUNA,6,4.68,3.68,3.59,1.39,11.44,2.20,1.64,6.11,0.77,0.816,2.377,0.161,Y,G,G,ITEM
FISHING,FISH,-,TURBOT,2,14.51,14.51,4.89,9.63,19.40,4.89,12.07,16.96,0.34,-,-,-,R,G,R,TYPOLOGY
FISHING,FISH,-,WHITING,2,2.66,2.66,1.12,1.54,3.79,1.12,2.10,3.22,0.42,-,-,-,R,G,R,TYPOLOGY
FISHING,FISH FROZEN,-,COD (F),6,3.09,3.03,1.36,0.75,5.30,0.57,2.74,3.60,0.44,-0.115,2.663,0.782,Y,G,G,ITEM
FISHING,FISH FROZEN,-,FISH STICK (F),1,2.26,2.26,-,2.26,2.26,-,2.26,2.26,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH FROZEN,-,HADDOCK (F),1,3.72,3.72,-,3.72,3.72,-,3.72,3.72,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH FROZEN,-,HERRING (F),4,1.31,1.30,0.25,0.98,1.65,0.21,1.15,1.46,0.19,0.103,1.729,0.989,Y,G,G,ITEM
FISHING,FISH FROZEN,-,MACKEREL (F),3,1.11,0.99,0.28,0.84,1.51,0.15,0.92,1.25,0.26,0.563,,0.414,R,G,R,TYPOLOGY
FISHING,FISH FROZEN,-,MIXED FISH (F),1,1.04,1.04,-,1.04,1.04,-,1.04,1.04,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH FROZEN,-,POLLOCK (F),1,0.90,0.90,-,0.90,0.90,-,0.90,0.90,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH FROZEN,-,POLLOCK STICK (F),1,2.14,2.14,-,2.14,2.14,-,2.14,2.14,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH FROZEN,-,SALMON (F),4,1.99,1.61,1.48,0.55,4.20,0.96,0.70,2.90,0.74,0.461,1.603,0.407,Y,G,G,ITEM
FISHING,FISH FROZEN,-,SOLE (F),2,14.28,14.28,6.58,7.70,20.86,6.58,10.99,17.57,0.46,-,-,-,R,R,R,TYPOLOGY
FISHING,FISH FROZEN,-,TROUT (F),2,4.38,4.38,0.15,4.23,4.52,0.15,4.30,4.45,0.03,-,-,-,R,G,R,TYPOLOGY
FISHING,FISH FROZEN,-,TUNA (F),4,2.66,2.64,0.59,1.85,3.52,0.44,2.38,2.92,0.22,0.111,1.967,0.894,Y,G,G,ITEM
FISHING,FISH PROCESSED,-,COD FISH STICK,1,2.14,2.14,-,2.14,2.14,-,2.14,2.14,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH PROCESSED,-,HAKE FISH STICK,1,2.14,2.14,-,2.14,2.14,-,2.14,2.14,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,FISH PROCESSED,-,MAKEREL FISH STICK,1,1.02,1.02,-,1.02,1.02,-,1.02,1.02,-,-,-,n.a.,R,R,R,TYPOLOGY
FISHING,FISH PROCESSED,-,TUNA IN CAN,6,2.00,2.10,0.22,1.70,2.20,0.10,1.80,2.18,0.11,-0.595,1.500,0.321,Y,G,G,ITEM
FISHING,SHELLFISH,-,BARNACLE,6,4.32,2.30,4.08,0.78,11.68,1.38,1.11,6.70,0.94,0.817,2.067,0.100,Y,G,G,ITEM
FISHING,SHELLFISH,-,KRILL,1,5.54,5.54,-,5.54,5.54,-,5.54,5.54,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,SHELLFISH,-,LOBSTER,5,19.30,20.25,8.19,7.72,28.30,7.81,12.44,27.80,0.42,-0.194,1.422,0.418,Y,R,G,ITEM
FISHING,SHELLFISH,BIVALVES* (SUB-TYP) (Mussels),MUSSELS,7,0.94,0.46,0.86,0.12,2.54,0.35,0.33,1.39,0.92,0.872,2.163,0.092,Y,G,G,ITEM
FISHING,SHELLFISH,CEPHALOPOD (SUB-TYP),CUTTLEFISH,2,5.05,5.05,1.34,3.71,6.39,1.34,4.38,5.72,0.27,-,-,-,R,G,R,TYPOLOGY
FISHING,SHELLFISH,CEPHALOPOD (SUB-TYP),OCTOPUS,2,5.80,5.80,1.55,4.25,7.35,1.55,5.03,6.58,0.27,-,-,-,R,G,R,TYPOLOGY
FISHING,SHELLFISH,CEPHALOPOD (SUB-TYP),SQUID,3,7.51,6.91,3.14,4.00,11.61,2.91,5.46,9.26,0.42,0.279,,0.948,R,G,R,TYPOLOGY
FISHING,SHELLFISH,CRUSTACEAN* (SUB-TYP) (Prawns/Shrimps),PRAWNS/SHRIMPS,18,11.95,7.04,10.42,2.89,38.00,3.25,5.24,16.78,0.87,1.282,3.370,0.001,G,G,R,ITEM
FISHING,SHELLFISH FROZEN,-,OCTOPUS (F),1,7.88,7.88,-,7.88,7.88,-,7.88,7.88,-,-,-,n.a.,R,G,R,TYPOLOGY
FISHING,SHELLFISH FROZEN,-,PRAWNS/SHRIMPS (F),4,17.73,15.07,12.02,5.81,35.00,8.56,6.85,25.95,0.68,0.348,1.461,0.381,Y,G,G,ITEM
